row_number,plant_number,date,truss_number,brix,diameter,fruit_number,weight,total_sap,total_sap_mean,week_before_sap,week_before_sap_mean,week_after_sap,week_after_sap_mean
209,403,2019-04-18 00:00:00,6,9.3,,13.0,222.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
209,403,2019-04-18 00:00:00,7,,,12.0,206.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
210,404,2019-04-18 00:00:00,6,,,13.0,214.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
210,404,2019-04-18 00:00:00,7,,,11.0,197.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
211,405,2019-04-18 00:00:00,5,,,13.0,266.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
211,405,2019-04-18 00:00:00,6,,,11.0,238.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
212,406,2019-04-18 00:00:00,6,9.2,,13.0,223.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
212,406,2019-04-18 00:00:00,7,,,11.0,210.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
213,407,2019-04-18 00:00:00,6,,,14.0,243.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
213,407,2019-04-18 00:00:00,7,,,13.0,273.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
214,408,2019-04-18 00:00:00,6,,,13.0,236.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
214,408,2019-04-18 00:00:00,7,,,11.0,234.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
215,409,2019-04-18 00:00:00,6,10.1,,12.0,209.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
215,409,2019-04-18 00:00:00,7,,,13.0,229.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
215,409,2019-04-18 00:00:00,8,,,10.0,209.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
216,410,2019-04-18 00:00:00,6,11.5,,13.0,225.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
216,410,2019-04-18 00:00:00,7,,,12.0,208.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
217,411,2019-04-18 00:00:00,7,,,14.0,223.0,66203.226,859.7821558441558,9770.643,1221.330375,15150.547,1893.818375
218,500,2019-04-18 00:00:00,3,4.6,55.0,6.0,603.0,72595.74800000002,942.8019220779223,9178.258000000002,1147.2822500000002,12289.480999999998,1536.1851249999997
